Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
3ca597a6455f60c58be24fb647b35bee54f282eb01ab78522c1d36021571b4b2,2017-02,City of London Police,City of London Police,,,No Location,,,Drugs,Status update unavailable,
d2aa0606d7138719eab120508b1c2f7d6f8949f608c1f351998fc3bea3eeb7f7,2017-02,City of London Police,City of London Police,,,No Location,,,Drugs,Awaiting court outcome,
d3d4191fc275b9dbbec5e1292c3559bf18ba731eba5858f0e7d64f4ded24dbd2,2017-02,City of London Police,City of London Police,,,No Location,,,Other theft,Status update unavailable,
6c8f04c0ae78351ff396984945b61c82ffd69bf440a8b6c36a0df37f7393449a,2017-02,City of London Police,City of London Police,,,No Location,,,Other theft,Status update unavailable,
60241ca27d7cc35ace89a0e5ce4cad7a8a99b67d88add5ac6dff7bceae71e9aa,2017-02,City of London Police,City of London Police,,,No Location,,,Other theft,Status update unavailable,
9a04416df402edfc47400c61e63d2212fd54743123cb5687cc12d67162a5499d,2017-02,City of London Police,City of London Police,,,No Location,,,Other theft,Status update unavailable,
bea4ced1925a75675b0c9b566db9ac5a0d72c5343d8dc07fc888ba76d4b6ecd9,2017-02,City of London Police,City of London Police,,,No Location,,,Other theft,Status update unavailable,
3c8e88ea9dcaddb3ca784853af5e1ff9af4ea8e3a95c9cbd34b796485d6c3236,2017-02,City of London Police,City of London Police,,,No Location,,,Other theft,Status update unavailable,
6dda873be4617d5fa4a8d91820a2906d586d3ee609dd1be8639a935e1e6c6469,2017-02,City of London Police,City of London Police,,,No Location,,,Robbery,Status update unavailable,
e4ce72fd6011e62b09015edb3c6a90aa01ed2ab14728a458e0f0b7b1eedcca35,2017-02,City of London Police,City of London Police,,,No Location,,,Shoplifting,Offender given conditional discharge,
2481ad75a50c43f846690a0c6fadef5ddf2a2312a692895c035ad956aad49a30,2017-02,City of London Police,City of London Police,,,No Location,,,Theft from the person,Status update unavailable,
613006d2decb9246c5c8018fa7f171aa8c2c015e56d5cb15537248f7c3bb472c,2017-02,City of London Police,City of London Police,,,No Location,,,Theft from the person,Status update unavailable,
f8fd258d6ae384b49e725d85bc8d064b60acc9aee7a7310ad9b71ae3d075df25,2017-02,City of London Police,City of London Police,,,No Location,,,Theft from the person,Status update unavailable,
9f98c6d6d5d8b97ffc1fc446c167aab2fb2e65c0ae23b679d386a467b4c53bfe,2017-02,City of London Police,City of London Police,,,No Location,,,Violence and sexual offences,Unable to prosecute suspect,
fd8aedabf12cd2161ec6ced7918f22a8a3c7c47579eb730c7c3cf75d68b318db,2017-02,City of London Police,City of London Police,,,No Location,,,Violence and sexual offences,Status update unavailable,
4b41b71d7fa71eb9a52a72344fce008e0dc9fa5afd6af2c775d02b84232f257d,2017-02,City of London Police,City of London Police,,,No Location,,,Violence and sexual offences,Status update unavailable,
4ef04b91443d2ce1ed77bf980395be2847fd6a426feb9dd5e289c79797d92690,2017-02,City of London Police,City of London Police,,,No Location,,,Other crime,Status update unavailable,
111419cab249f5e6547d8560ae61ecdf140e4e12b66c895a2fce5b1c399da7bb,2017-02,City of London Police,City of London Police,,,No Location,,,Other crime,Status update unavailable,
Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
f94646a81d8cd0b211269e034f4b243a95e40b42c6cfde46b5c244bda2e2cc6e,2017-03,City of London Police,City of London Police,-0.106453,51.518207,On or near Charterhouse Street,E01000916,Camden 027B,Other theft,Investigation complete; no suspect identified,
