Full fund name;Fund ISIN;Fund code;Asset Class;Morningstar rating;Morningstar category;OCF/TER(%);Eligible for ISA;Eligible for SIPP;Eligible for general investment account;Performance in % (Current Yr-4);Performance in % (Current Yr-3);Performance in % (Current Yr-2);Performance in % (Current Yr-1);Performance in % (Current Yr)
M&G Corporate Bond Fund I Acc;GB00B1YBRL59;MGCPA;Bonds;4;GBP Corporate Bond;0.65;Yes;Yes;Yes;5.38;6.72;4.56;6.72;5.90
JPM US Equity Income Fund C - Net Accumulation;GB00B3FJQ482;SPUIA;North America;3;US Large-Cap Value Equity;0.93;Yes;Yes;Yes;27.60;7.70;12.79;20.06;20.21
Fidelity Enhanced Income Fund W-Income;GB00B87HPZ94;WEINI;UK;;UK Equity Income;0.95;Yes;Yes;Yes;14.67;11.91;3.34;2.80;11.39
Threadneedle European Select Fund RDR Z Acc;GB00B8BC5H23;THUAZ;Europe;;Europe ex-UK Large-Cap Equity;0.83;Yes;Yes;Yes;33.26;8.56;8.15;9.48;23.44
Invesco Perpetual High Yield Y Acc;GB00BJ04GD99;IHYYA;Bonds;;GBP High Yield Bond;0.7;Yes;Yes;Yes;;;2.26;-3.03;12.99
Schroder Tokyo Fund L Income;GB00BDD2J846;SCTLI;Japan;;Japan Large-Cap Equity;0.84;Yes;Yes;Yes;;;21.19;2.99;28.67
Fidelity Funds - European Growth Fund Y-ACC-Euro;LU0346388373;YEUG;Europe;;Europe Large-Cap Blend Equity;1.04;No;Yes;Yes;24.17;11.20;4.37;6.83;24.34
Schroder US Mid Cap Fund L Acc;GB00BDD2JX95;SCMCL;North America;;US Mid-Cap Equity;0.84;Yes;Yes;Yes;;;21.37;17.32;24.72
Schroder US Mid Cap Fund L Inc;GB00BDD2JZ10;SCMUL;North America;;US Mid-Cap Equity;0.84;Yes;Yes;Yes;;;21.38;17.32;24.72
Schroder Tokyo Fund L GBP Hedged Acc;GB00BLBP8M89;SCTHA;Japan;;Japan Equity - Currency Hedged;0.84;Yes;Yes;Yes;;;33.18;-27.50;33.96
Schroder Tokyo Fund L Acc;GB00BDD2J739;SCTLA;Japan;;Japan Large-Cap Equity;0.84;Yes;Yes;Yes;;;21.17;2.98;28.70
